THRESHOLD,SEN_AVG,SEN_STD,SEN_ERR,SEN_CI95_HI,SEN_CI95_LO,FP_AVG,FP_STD,FP_ERR,FP_CI95_HI,FP_CI95_LO
0.0,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0025,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.005,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0075,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.01,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0125,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.015,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0175,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.02,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0225,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.025,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0275,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.03,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0325,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.035,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.0375,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.778735632183908,7.039608533882528,0.3773626274763284,8.518366382037511,7.039104882330305
0.04,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.775862068965517,7.042177838363995,0.37750035665334825,8.515762768006079,7.035961369924954
0.0425,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.758620689655173,7.042424780939467,0.3775135941648757,8.49854733421833,7.018694045092016
0.045,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.738505747126437,7.023469101652608,0.3764974630963853,8.476440774795352,7.000570719457522
0.0475,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.709770114942529,7.001787911152711,0.37533522929112806,8.44542716435314,6.974113065531919
0.05,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.64367816091954,6.921506410129105,0.37103168911297796,8.370900271580977,6.916456050258104
0.0525,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.560344827586207,6.8242094809034635,0.36581602624177617,8.277344239020088,6.843345416152326
0.055,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.4798850574712645,6.731760327351663,0.3608602314238747,8.187171111062058,6.772599003880471
0.0575,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.42816091954023,6.6802655780328415,0.3580998231127228,8.130036572841167,6.726285266239293
0.06,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.330459770114943,6.5666604284685635,0.35200994786922357,8.020399267938622,6.640520272291265
0.0625,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.304597701149425,6.543076646278301,0.35074572444397034,7.992059321059607,6.617136081239243
0.065,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.2298850574712645,6.4735349494533025,0.3470178982009718,7.9100401379451695,6.54972997699736
0.0675,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.163793103448276,6.403723654030187,0.34327561995615247,7.836613318562335,6.490972888334217
0.07,0.9500959692898272,0.19375426836756285,0.010386318989759507,0.9704531545097559,0.9297387840698985,7.063218390804598,6.301870449978034,0.3378157151172672,7.725337192434441,6.401099589174754
