THRESHOLD,SEN_AVG,SEN_STD,SEN_ERR,SEN_CI95_HI,SEN_CI95_LO,FP_AVG,FP_STD,FP_ERR,FP_CI95_HI,FP_CI95_LO
0.845,0.1401151631477927,0.3265715757562005,0.01750607399449765,0.1744270681770081,0.10580325811857731,0.15229885057471265,0.4391771219413818,0.02354236487236711,0.19844188572455218,0.10615581542487312
0.8475,0.1362763915547025,0.32331741921334717,0.01733163289350178,0.17024639202596598,0.10230639108343902,0.14942528735632185,0.436880100333765,0.023419231589451146,0.1953269812716461,0.1035235934409976
0.85,0.1343570057581574,0.3226737066740185,0.017297126279389452,0.16825937326576074,0.10045463825055408,0.14367816091954022,0.4321919600795634,0.023167920892870786,0.18908728586956697,0.09826903596951347
0.8525,0.13051823416506717,0.3189026821782838,0.017094978147836577,0.16402439133482685,0.09701207699530748,0.13793103448275862,0.4273749049149799,0.022909699631723034,0.18283404576093576,0.09302802320458148
0.855,0.12284069097888675,0.31110585783761846,0.016677024492458788,0.15552765898410598,0.09015372297366753,0.13505747126436782,0.42491666872680667,0.02277792434017641,0.17970220297111358,0.09041273955762205
0.8575,0.11900191938579655,0.3040729817818308,0.01630002276369026,0.15094996400262944,0.08705387476896363,0.13218390804597702,0.4224245246770837,0.022644331396459938,0.1765667975830385,0.08780101850891553
0.86,0.11900191938579655,0.3040729817818308,0.01630002276369026,0.15094996400262944,0.08705387476896363,0.12931034482758622,0.41989786902460946,0.022508888436648118,0.17342776616341654,0.0851929234917559
0.8625,0.11324376199616124,0.29678278308869505,0.01590922709367181,0.14442584709975798,0.08206167689256448,0.12643678160919541,0.4173360749445593,0.02237156185940337,0.170285042853626,0.08258852036476481
0.865,0.10940499040307101,0.28918735514626975,0.015502069418445242,0.13978904646322368,0.07902093434291835,0.11781609195402298,0.38774282242193264,0.020785197010596956,0.15855507809479302,0.07707710581325294
0.8675,0.1017274472168906,0.28502574532013125,0.015278983715459882,0.13167425529919197,0.07178063913458924,0.10919540229885058,0.3790271739539461,0.020317989212008544,0.14901866115438733,0.06937214344331383
0.87,0.1017274472168906,0.28502574532013125,0.015278983715459882,0.13167425529919197,0.07178063913458924,0.10344827586206896,0.37299265651294095,0.0199945051224986,0.14263750590216623,0.0642590458219717
0.8725,0.09404990403071017,0.2683927107313502,0.014387359471708742,0.12224912859525931,0.06585067946616104,0.10057471264367816,0.36203031803188634,0.019406862097664932,0.13861216235510143,0.0625372629322549
0.875,0.09404990403071017,0.2683927107313502,0.014387359471708742,0.12224912859525931,0.06585067946616104,0.09482758620689655,0.31242608188681714,0.0167477959300558,0.1276532662298059,0.06200190618398718
0.8775,0.08637236084452975,0.25767788752719484,0.013812984658421451,0.1134458107750358,0.0592989109140237,0.08908045977011494,0.3048054406009855,0.016339286677753674,0.12110546165851215,0.057055457881717744
0.88,0.08253358925143954,0.2569929106596174,0.013776266044131265,0.10953507069793682,0.05553210780494226,0.08620689655172414,0.29114596744849897,0.015607062058450616,0.11679673818628736,0.05561705491716094
0.8825,0.08061420345489444,0.25228422206331785,0.01352385384079424,0.10712095698285115,0.05410744992693772,0.08333333333333333,0.28700647821933484,0.01538516214392997,0.11348825113543606,0.053178415531230594
0.885,0.07485604606525911,0.24145446995564643,0.012943318191603213,0.10022494972080141,0.049487142409716814,0.08045977011494253,0.2827771214122234,0.015158444821569684,0.11017032196521911,0.05074921826466595
